ccaa,prov,prov2,id_prov,id_color,id_iframe_casas,id_iframe_piscinas,id_iframe_restricciones,id_iframe_reformar,id_iframe_2515,id_iframe_2508,id_iframe_cincoanos,casas_tasac_2025,casas_tasac_2010,casas_tasac_1995,valor_tasac_2025,valor_tasac_1995,mascinco_2025,casas_noviembre_2025,valor_noviembre_2025,casas_noviembre_2015,valor_noviembre_2015,casas_noviembre_2008,valor_noviembre_2008,media_2025,casas_muestra,valor_muestra,casas_piscina,valor_piscina,casas_restriccion,valor_restriccion,casas_reformar,valor_reformar
Cataluña,Lleida,Lleida,lleida,#56B070,78ndm,MhkbG,dfNO0,gm3Jd,ihCec,90gnB,EadMG,"2,77254169","2,250427581","3,667697315","2,77254169","3,667697315","2,79","2,179401993",150500,"3,300720906",97100,"1,691093574",177400,"2,304989459","2,304989459",1.423,"1,717277487",1.910,"3,787528868",866,"5,273311897",622
Galicia,Lugo,Lugo,lugo,#2F70B3,9ethB,25Dke,5CYxu,NN6hZ,bpglV,vchD8,9mZ4H,"3,08743658","2,846704939","4,004975566","3,08743658","4,004975566","3,11","3,011937557",108900,"2,918943534",109800,"2,386634845",125700,"3,515541265","3,515541265",933,"1,902552204",1.724,"3,42737722",957,"6,639676113",494
"Madrid, Comunidad de",Madrid,Madrid,madrid,#8F583A,PkoPv,qyu3H,MXb7I,CicYK,qgW6d,Hgell,fbrSZ,"0,90774991","1,186202097","1,654924277","0,90774991","1,654924277","0,91","0,7303495881",449100,"1,480369515",216500,"1,130369254",265400,"0,6266717616","0,6266717616",5.234,"0,7594350544",4.319,"0,9468822171",3.464 ,"0,6931530008",4.732
Andalucía,Málaga,Málaga,malaga,#EB993D,qMV0U,q2Euc,PkJxQ,gB1gm,9aU4S,TFpq6,u1AaJ,"1,20622382","1,567250729","3,587425388","1,20622382","3,587425388","1,21","0,8151093439",402400,"1,944781553",164800,"1,560062402",192300,"0,722785368","0,722785368",4.538,"0,6436420722",5.096,"1,383382539",2.371,"1,09296901",3.001
Melilla,Melilla,Melilla,melilla,#EB993D,LJ208,P91z2,v6m20,vGw85,,,uY3LL,"1,66991656","1,851737547",0,"1,66991656",,"1,68",#N/A,206900,#N/A,172900,#N/A,0,"1,557454891","1,557454891",2.106,"1,507352941",2.176,"1,749333333",1.875,"2,198391421",1.492
"Murcia, Región de",Murcia,Murcia,murcia,#56B070,XbrSI,9ywXe,Qq184,44AY1,0xUx2,DNnY4,PiObp,"2,75276325","2,215362803","4,230005865","2,75276325","4,230005865","2,77","1,96996997",166500,"3,163869694",101300,"2,004008016",149700,"2,02344232","2,02344232",1.621,"1,474820144",2.224,"4,064436183",807,"3,54978355",924
"Navarra, Comunidad Foral de",Navarra,Navarra,navarra,#EB993D,q67fk,FgzCO,nA0B5,gzvt9,87rKP,yifOV,Xg0a8,"1,85380907","1,938886304","2,44778713","1,85380907","2,44778713","1,88","1,783578032",183900,"2,276278409",140800,"1,802884615",166400,"1,921499707","1,921499707",1.707,"1,715481172",1.912,"2,039800995",1.608,"3,689538808",889
Galicia,Ourense,Ourense,ourense,#2F70B3,BBtQq,hPgYQ,KFltW,6BhcW,JWo2z,jaJXL,7KnoJ,"3,26270765","2,570253598","3,082488503","3,26270765","3,082488503","3,27","3,126787417",104900,"2,568108974",124800,"2,93255132",102300,"3,818393481","3,818393481",859,"3,169082126",1.035,"2,712985939",1.209,"7,884615385",416
Castilla y León,Palencia,Palencia,palencia,#2F70B3,sbIkd,HOHgM,g3s0P,ovDu2,RIq2A,joaqH,SnKZE,"3,33367212","2,508466073","3,306025157","3,33367212","3,306025157","3,35","2,789115646",117600,"2,718405428",117900,"2,423263328",123800,"3,25074331","3,25074331",1.009,"2,369942197",1.384,"2,842287695",1.154,"6,368932039",515
Canarias,Las Palmas,"Palmas, Las",palmaslas,#EB993D,s2TrR,iPAM2,ETXeB,sHxlI,fm0U0,BYSjE,7JZoX,"1,62819558","1,855230203","3,001315023","1,62819558","3,001315023","1,63","1,148057403",285700,"2,384672619",134400,"1,644736842",182400,"1,027247103","1,027247103",3.193,"0,7658183516",4.283,"1,627791563",2.015,"1,810154525",1.812
